,study,sub,SVO_score,SVO_prosocial,DGS_score,TG_score
0,1,1,24.726,1,16,48
1,1,2,16.96,0,19,51
2,1,3,38.211999999999996,1,11,35
3,1,4,39.361999999999995,1,15,52
4,1,5,42.04,1,18,40
5,1,6,36.293,1,24,42
6,1,7,42.177,1,14,30
7,1,8,30.076,1,16,38
8,1,9,46.848,1,13,35
9,1,10,41.443999999999996,1,12,43
10,1,11,27.938000000000002,1,27,38
11,1,12,33.825,1,12,40
12,1,13,42.146,1,18,48
13,1,14,37.082,1,13,39
14,1,15,40.296,1,12,47
15,1,16,16.96,0,27,47
16,1,17,40.365,1,7,46
17,1,18,41.132,1,19,48
18,1,19,42.059,1,14,61
19,1,20,38.908,1,15,34
20,1,21,42.005,1,9,25
21,1,22,42.118,1,15,58
22,1,23,22.474,1,20,50
23,1,24,57.843999999999994,1,21,53
24,1,25,42.232,1,17,52
25,1,26,34.516999999999996,1,20,33
26,1,27,40.5,1,14,31
27,1,28,40.107,1,16,29
28,1,29,34.634,1,25,46
29,1,30,20.873,0,18,27
30,1,31,19.619,0,25,33
31,1,32,29.29,1,14,31
32,1,33,40.279,1,13,36
33,1,34,41.553999999999995,1,8,29
34,1,35,33.91,1,22,50
35,1,36,15.297,0,11,47
36,1,37,31.089000000000002,1,21,33
37,1,38,25.951999999999998,1,18,57
38,1,39,39.082,1,23,47
39,1,40,18.141,0,22,40
40,1,41,26.846,1,19,66
41,1,42,40.943000000000005,1,12,50
42,1,43,16.96,0,19,55
43,1,44,42.177,1,14,30
44,1,45,34.533,1,22,57
45,1,46,28.877,1,23,27
46,1,47,39.289,1,15,47
47,1,48,30.648000000000003,1,24,43
48,1,49,40.143,1,18,36
49,1,50,41.778999999999996,1,26,47
50,1,51,38.437,1,15,68
51,1,52,22.393,0,17,70
52,1,53,40.35,1,17,33
53,1,54,35.264,1,19,41
54,1,55,41.522,1,24,35
55,1,56,11.622,0,22,56
56,1,57,40.101,1,10,29
57,1,58,36.773,1,22,38
58,1,59,11.622,0,25,70
59,1,60,38.734,1,17,31
60,1,61,34.998000000000005,1,13,44
61,1,62,11.622,0,16,31
62,1,63,42.273999999999994,1,25,70
63,1,64,38.509,1,16,54
64,1,65,33.933,1,18,42
65,1,66,27.139,1,19,55
66,1,67,41.424,1,29,65
67,1,68,38.775999999999996,1,10,38
68,1,69,40.724000000000004,1,17,41
69,1,70,20.801,0,18,58
70,1,71,41.94,1,21,49
71,1,72,18.435,0,9,26
72,1,73,28.224,1,17,27
73,1,74,22.625999999999998,1,28,33
74,1,75,38.257,1,18,44
75,1,76,41.03,1,8,64
76,1,77,39.525999999999996,1,15,63
77,1,78,42.019,1,10,54
78,1,79,21.787,0,19,43
79,1,80,39.917,1,14,37
80,1,81,32.905,1,11,53
81,1,82,17.577,0,17,37
82,1,83,11.622,0,25,36
83,1,84,42.53,1,18,51
84,1,85,23.342,1,26,51
85,1,86,20.355999999999998,0,9,80
86,1,87,29.941,1,27,32
87,1,88,32.75,1,14,33
88,1,89,41.593999999999994,1,8,47
89,1,90,42.177,1,9,49
90,1,91,16.96,0,26,27
91,1,92,18.233,0,24,65
92,1,93,20.063,0,14,26
93,1,94,17.893,0,16,32
94,1,95,42.059,1,11,40
95,1,96,27.862,1,15,42
96,1,97,38.879,1,14,34
97,1,98,33.756,1,25,47
98,1,99,12.762,0,20,51
99,1,100,21.293000000000003,0,27,23
100,1,101,39.609,1,19,62
101,1,102,16.96,0,9,20
102,1,103,12.011,0,17,49
103,1,104,37.476,1,9,55
