,record,IA,GA,GR,Altruism,AdvantEquity,DoubleInv,SplitEndow,Return10,Reciprocity,ReturnInv,RiskAssess,sum,normalized
73,110074,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,100.0,0.0
74,110075,40.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
75,110076,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
76,110077,30.0,20.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
77,110078,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,100.0,0.0
78,110079,10.0,20.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
79,110080,50.0,22.727272727272727,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
80,110081,50.0,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
81,110082,10.0,11.11111111111111,77.77777777777779,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000001,1.0
82,110083,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
83,110084,60.0,5.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
84,110085,10.0,10.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
85,110086,20.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
86,110087,25.0,50.0,18.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
87,110088,30.0,20.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
88,110089,35.0,30.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
89,110090,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
90,110091,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
91,110092,30.0,25.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
92,110093,25.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
93,110094,30.0,7.0,20.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,0.0
94,110095,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
95,110096,30.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
96,110097,90.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
97,110098,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
98,110099,0.0,0.0,61.53846153846154,38.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
99,110100,55.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
100,110101,30.0,30.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
101,110102,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
102,110103,20.0,20.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
103,110104,40.0,40.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
