,sub,model,theta,phi,SSE,AIC,BIC
4,193,MP,0.18689871206514244,0.02289702729964,2349.0,264.75688497231624,269.41835165288893
5,193,MP_ppSOE,0.2984802568641779,-0.08378948953466886,2139.0,257.6393880285017,262.3008547090743
0,194,GR,,,7616.0,350.15276595005014,350.15276595005014
1,194,GA,179.6591907235347,,659.0,166.15925476042938,168.48998810071572
2,194,GA_ppSOE,179.60759823639117,,853.0,185.76999174760644,188.1007250878928
3,194,IA,681.4964653902299,,141.0,48.970017806979634,51.300751147265956
4,194,MP,0.057050506176465975,0.04731551484648654,148.0,54.65239894431159,59.313865624884244
5,194,MP_ppSOE,0.057537827616735336,0.04568319562478018,148.0,54.65239894431159,59.313865624884244
0,195,GR,,,7018.0,343.938016405119,343.938016405119
1,195,GA,178.76926210816634,,726.0,173.51806726492333,175.8488006052097
2,195,GA_ppSOE,125.1048491282075,,762.0,177.1962043704239,179.52693771071029
3,195,IA,320.19403235747814,,145.0,51.09603056220249,53.42676390248882
4,195,MP,0.05633690154994726,0.045114850937136255,190.0,73.63809562243578,78.29956230300844
5,195,MP_ppSOE,0.0573028644617883,0.03238462027912459,190.0,73.63809562243578,78.29956230300844
0,196,GR,,,6011.0,332.1665927692152,332.1665927692152
1,196,GA,178.70420154614933,,268.0,97.77927665706392,100.11000999735028
2,196,GA_ppSOE,125.76829108242565,,837.0,184.33089549543897,186.66162883572534
3,196,IA,179.04647980716047,,443.0,135.97556866166914,138.30630200195552
4,196,MP,0.0778105180365044,-0.005230312557961914,128.0,43.61856619612974,48.28003287670241
5,196,MP_ppSOE,0.10365671577199276,0.00424049648414142,166.0,63.375338053336115,68.03680473390878
0,197,GR,,,6060.0,332.78361214705416,332.78361214705416
1,197,GA,109.49825455585163,,1477.0,227.4946556106237,229.82538895091
2,197,GA_ppSOE,109.43485336027813,,1477.0,227.4946556106237,229.82538895091
3,197,IA,179.52272705324668,,540.0,151.02352074467115,153.35425408495752
4,197,MP,0.13360642747816745,0.044277562573464935,552.0,154.6939176552981,159.35538433587075
5,197,MP_ppSOE,0.13538417497994198,0.028084897395117103,552.0,154.6939176552981,159.35538433587075
0,198,GR,,,7393.0,347.8942214405785,347.8942214405785
1,198,GA,232.5947856752584,,643.0,164.2912651802979,166.62199852058427
2,198,GA_ppSOE,177.91869288220397,,982.0,196.47320557317826,198.80393891346455
3,198,IA,337.2738960047306,,274.0,99.46200222373218,101.79273556401851
4,198,MP,0.05888695108539373,0.007839191708153587,165.0,62.91612215468297,67.57758883525564
5,198,MP_ppSOE,0.061052604127338414,0.02304183403052775,263.0,98.34797258374893,103.0094392643216
0,199,GR,,,7822.0,352.18112834221375,352.18112834221375
1,199,GA,577.6253589948726,,203.0,76.66792054541467,78.998653885701
2,199,GA_ppSOE,156.77405301890715,,187.0,70.42852101918744,72.75925435947376
3,199,IA,493.79054692330186,,564.0,154.3283892520913,156.65912259237766
4,199,MP,0.045689796897750976,-0.04729682831249804,230.0,88.15829361640169,92.81976029697435
5,199,MP_ppSOE,0.17472702533050466,-0.07952035586686057,166.0,63.375338053336115,68.03680473390878
0,200,GR,,,10428.0,374.0352490422966,374.0352490422966
1,200,GA,996.3337183278182,,706.0,171.39502418772526,173.72575752801154
2,200,GA_ppSOE,328.89686454041265,,757.0,176.69587339948498,179.0266067397713
3,200,IA,6498.424912029665,,633.0,163.10001822119622,165.43075156148257
4,200,MP,0.008252523069640548,0.08281240651289226,633.0,165.10001822119622,169.76148490176888
5,200,MP_ppSOE,0.09035982366408188,-0.023847918714732755,597.0,160.64996675607662,165.31143343664928
0,201,GR,,,8056.0,354.4213711525171,354.4213711525171
1,201,GA,150.18617585272563,,438.0,135.11290332684874,137.44363666713508
2,201,GA_ppSOE,150.22652963126353,,398.0,127.83461853985612,130.16535188014245
3,201,IA,531.995740110413,,656.0,165.81248609798962,168.14321943827596
4,201,MP,0.021449626480576002,-0.0025013407550280565,299.0,108.097977715931,112.7594443965037
5,201,MP_ppSOE,0.023123638483273604,-0.002498868604202214,291.0,106.03683444327228,110.69830112384493
0,202,GR,,,7439.0,348.36563611278075,348.36563611278075
1,202,GA,230.15600820698728,,367.0,121.67176659038616,124.0024999306725
2,202,GA_ppSOE,178.49129090187768,,756.0,176.59541072788338,178.92614406816966
3,202,IA,249.13570180180588,,438.0,135.11290332684874,137.44363666713508
4,202,MP,0.021720553516206442,-0.002216991956322023,100.0,24.85720027333379,29.51866695390645
5,202,MP_ppSOE,0.060046125014408,-0.003734354731946668,158.0,59.62148864828832,64.28295532886098
0,203,GR,,,1.0,-329.1357338617612,-329.1357338617612
1,203,GA,1.431042061271759,,1.0,-327.1357338617612,-324.8050005214748
2,203,GA_ppSOE,6.4578696962003255,,6.0,-190.962014200429,-188.63128086014262
3,203,IA,39.491889556629246,,1.0,-327.1357338617612,-324.8050005214748
4,203,MP,0.4942970262410579,0.05383113884903402,1.0,-325.1357338617612,-320.47426718118845
5,203,MP_ppSOE,0.4985957321614772,0.09484689515967756,1.0,-325.1357338617612,-320.47426718118845
0,204,GR,,,6641.0,339.74162148733313,339.74162148733313
1,204,GA,186.0572495076723,,527.0,149.17150782738238,151.5022411676687
2,204,GA_ppSOE,124.65734551800257,,1351.0,220.717891823214,223.04862516350033
3,204,IA,230.16748417799977,,319.0,111.01878994988701,113.34952329017337
4,204,MP,0.10558394860000203,0.01623515616810631,240.0,91.39282431223019,96.05429099280285
5,204,MP_ppSOE,0.10828277240074413,0.06329481199876393,290.0,105.77521628475834,110.436682965331
0,205,GR,,,5535.0,325.8966263690869,325.8966263690869
1,205,GA,123.58614503151706,,462.0,139.16719786045098,141.4979312007373
2,205,GA_ppSOE,99.92675405816595,,931.0,192.41997121129597,194.7507045515823
3,205,IA,173.12613885135346,,372.0,122.70019906299795,125.0309324032843
4,205,MP,0.1182097770324974,-0.009150744444721748,244.0,92.6490512605222,97.31051794109484
5,205,MP_ppSOE,0.11728856670645167,-0.004184679574972447,258.0,96.88919459228175,101.5506612728544
0,206,GR,,,6761.0,341.1026487571304,341.1026487571304
1,206,GA,125.86005887495442,,767.0,177.6932630421503,180.02399638243668
2,206,GA_ppSOE,126.43194682780806,,767.0,177.6932630421503,180.02399638243668
3,206,IA,231.1169511587596,,279.0,100.83636155666262,103.16709489694895
4,206,MP,0.04330331931275976,0.0020151418662618533,173.0,66.51442732007004,71.1758940006427
5,206,MP_ppSOE,0.08306966049622899,0.0051880949520864,189.0,73.23703928277165,77.89850596334432
0,207,GR,,,4382.0,308.1440656700501,308.1440656700501
1,207,GA,97.33655322862637,,477.0,141.59551944575276,143.92625278603907
2,207,GA_ppSOE,98.25913310377331,,477.0,141.59551944575276,143.92625278603907
3,207,IA,112.72594736387337,,316.0,110.30067437084415,112.63140771113049
4,207,MP,0.2658783563332485,-0.09046590964650826,184.0,71.19938371652174,75.8608503970944
5,207,MP_ppSOE,0.2668650758416688,-0.09175349083298312,184.0,71.19938371652174,75.8608503970944
0,208,GR,,,3330.0,287.2795624443001,287.2795624443001
1,208,GA,177.24792230888684,,402.0,128.59462487328443,130.92535821357077
2,208,GA_ppSOE,79.88801033306169,,829.0,183.6009979285212,185.9317312688076
3,208,IA,97.6966521869012,,208.0,78.51716019553899,80.8478935358253
4,208,MP,0.21589504443399765,0.052602463670070466,373.0,124.9042260311688,129.5656927117415
5,208,MP_ppSOE,0.3116643053703447,-0.09251995466067336,337.0,117.1905688450183,121.85203552559099
