,theta,phi,cluster
0,0.0,-0.1,3
1,0.0,-0.098,3
2,0.0,-0.096,3
3,0.0,-0.094,3
4,0.0,-0.092,3
5,0.0,-0.09,3
6,0.0,-0.088,3
7,0.0,-0.086,3
8,0.0,-0.084,3
9,0.0,-0.082,3
10,0.0,-0.08,3
11,0.0,-0.078,3
12,0.0,-0.076,3
13,0.0,-0.074,3
14,0.0,-0.072,3
15,0.0,-0.07,3
16,0.0,-0.068,3
17,0.0,-0.066,3
18,0.0,-0.064,3
19,0.0,-0.062,3
20,0.0,-0.06,3
21,0.0,-0.058,3
22,0.0,-0.056,3
23,0.0,-0.054,3
24,0.0,-0.052,3
25,0.0,-0.05,3
26,0.0,-0.048,3
27,0.0,-0.046,3
28,0.0,-0.044,3
29,0.0,-0.042,3
30,0.0,-0.04,3
31,0.0,-0.038,3
32,0.0,-0.036,3
33,0.0,-0.034,3
34,0.0,-0.032,3
35,0.0,-0.03,3
36,0.0,-0.028,3
37,0.0,-0.026,3
38,0.0,-0.024,3
39,0.0,-0.022,3
40,0.0,-0.02,3
41,0.0,-0.018,3
42,0.0,-0.016,3
43,0.0,-0.014,3
44,0.0,-0.012,3
45,0.0,-0.01,3
46,0.0,-0.008,3
47,0.0,-0.006,3
48,0.0,-0.004,3
49,0.0,-0.002,3
50,0.0,0.0,3
51,0.0,0.002,2
52,0.0,0.004,2
53,0.0,0.006,2
54,0.0,0.008,2
55,0.0,0.01,2
56,0.0,0.012,2
57,0.0,0.014,2
58,0.0,0.016,2
59,0.0,0.018,2
60,0.0,0.02,2
61,0.0,0.022,2
62,0.0,0.024,2
63,0.0,0.026,2
64,0.0,0.028,2
65,0.0,0.03,2
66,0.0,0.032,2
67,0.0,0.034,2
68,0.0,0.036,2
69,0.0,0.038,2
70,0.0,0.04,2
71,0.0,0.042,2
72,0.0,0.044,2
73,0.0,0.046,2
74,0.0,0.048,2
75,0.0,0.05,2
76,0.0,0.052,2
77,0.0,0.054,2
78,0.0,0.056,2
79,0.0,0.058,2
80,0.0,0.06,2
81,0.0,0.062,2
82,0.0,0.064,2
83,0.0,0.066,2
84,0.0,0.068,2
85,0.0,0.07,2
86,0.0,0.072,2
87,0.0,0.074,2
88,0.0,0.076,2
89,0.0,0.078,2
90,0.0,0.08,2
91,0.0,0.082,2
92,0.0,0.084,2
93,0.0,0.086,2
94,0.0,0.088,2
95,0.0,0.09,2
96,0.0,0.092,2
97,0.0,0.094,2
98,0.0,0.096,2
99,0.0,0.098,2
100,0.0,0.1,2
101,0.005,-0.1,3
102,0.005,-0.098,3
103,0.005,-0.096,3
104,0.005,-0.094,3
105,0.005,-0.092,3
106,0.005,-0.09,3
107,0.005,-0.088,3
108,0.005,-0.086,3
109,0.005,-0.084,3
110,0.005,-0.082,3
111,0.005,-0.08,3
112,0.005,-0.078,3
113,0.005,-0.076,3
114,0.005,-0.074,3
115,0.005,-0.072,3
116,0.005,-0.07,3
117,0.005,-0.068,3
118,0.005,-0.066,3
119,0.005,-0.064,3
120,0.005,-0.062,3
121,0.005,-0.06,3
122,0.005,-0.058,3
