,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time,clust,ClustName
0,1,4,MP_ppSOE,0.08161730060755662,-0.001948128616298769,161.0,61.050997877058016,65.71246455763068,1084.6885340213776,2,MO
1,2,4,MP_ppSOE,0.4973202916998713,0.08167425388026453,0.0,-inf,-inf,1231.0374808311462,0,GR
2,3,4,MP_ppSOE,0.05445879534283227,0.0025824559917749235,629.0,164.6182416474723,169.27970832804502,1129.4998109340668,2,MO
3,4,4,MP_ppSOE,0.1016827546633778,0.037533030822604604,289.0,105.51269443478368,110.17416111535636,1064.271437883377,3,IA
4,5,4,MP_ppSOE,0.0247872769878104,0.04861824599628328,106.0,29.28563729075593,33.947103971328595,1202.1702399253845,3,IA
5,6,4,MP_ppSOE,0.11663563792733628,0.023053182880272124,55.0,-20.57841178409337,-15.916945103520709,1072.870285987854,3,IA
6,7,4,MP_ppSOE,0.029624669963367163,0.0005419237330900745,194.0,75.22148622705178,79.88295290762443,1128.6189579963686,2,MO
7,8,4,MP_ppSOE,0.10892320844429976,-0.0010761182003375352,87.0,14.273283155987196,18.934749836559853,1139.6535439491272,2,MO
8,9,4,MP_ppSOE,0.028256027974100706,0.088438194122363,431.0,135.88848098612368,140.54994766669634,1237.300537109375,3,IA
9,10,4,MP_ppSOE,0.27367952504794263,-0.06923014865359725,310.0,110.84376074665741,115.50522742723007,1094.750580072403,2,MO
10,11,4,MP_ppSOE,0.34741735151344433,-0.0999073996784201,292.0,106.29755511062824,110.95902179120093,1115.7779049873352,2,MO
11,12,4,MP_ppSOE,0.043806501498056635,-0.0016523948446311994,82.0,9.774928930322076,14.436395610894735,1107.1359939575198,2,MO
12,13,4,MP_ppSOE,0.06965652776152728,0.09356931635608498,292.0,106.29755511062824,110.95902179120093,1166.7473850250246,3,IA
13,14,4,MP_ppSOE,0.08978725701166704,0.036167190238422735,198.0,76.77256047102351,81.43402715159617,1098.1002721786501,3,IA
14,15,4,MP_ppSOE,0.04680045054007796,0.09038772564385804,254.0,95.70167043164759,100.36313711222029,1213.7614920139313,3,IA
15,16,4,MP_ppSOE,0.27407789498377394,-0.08829213184404787,245.0,92.95989013963808,97.62135682021076,1092.54195189476,2,MO
16,17,4,MP_ppSOE,0.015363267787261268,0.0026279241626681192,499.0,147.02232941535425,151.6837960959269,1083.2718651294708,3,IA
17,18,4,MP_ppSOE,0.04189857309703261,0.002971859087211257,249.0,94.19068626955662,98.85215295012928,1189.5418038368225,2,MO
18,19,4,MP_ppSOE,0.02351486520412895,0.06191328913882153,116.0,36.137120662322545,40.79858734289522,1215.9298679828646,3,IA
19,20,4,MP_ppSOE,0.06774028747420441,-0.0023352936997375192,121.0,39.344347603591146,44.00581428416382,1106.4477829933169,2,MO
20,21,4,MP_ppSOE,0.035274224421003635,0.09662716356908904,140.0,50.42909025654596,55.090556937118606,921.6266980171204,3,IA
21,22,4,MP_ppSOE,0.10090651418654266,0.0020995542381157324,191.0,74.03704666978271,78.69851335035536,1114.8529090881348,2,MO
22,23,4,MP_ppSOE,0.2680741554993896,-0.0870253762690532,514.0,149.2732343128314,153.93470099340402,1159.1065950393674,2,MO
23,24,4,MP_ppSOE,0.008924547845305907,0.07906223791682508,2227.0,260.7034768497988,265.36494353037153,1041.9365408420565,3,IA
24,25,4,MP_ppSOE,0.011805116640286384,0.01356862825033084,400.0,130.21557171844546,134.87703839901812,1136.1787550449374,3,IA
25,26,4,MP_ppSOE,0.2165124631997839,-0.08976303914430445,792.0,182.13093191613518,186.79239859670787,1153.0996840000153,2,MO
26,27,4,MP_ppSOE,0.09762290003721613,-0.021850453126120824,370.0,124.29049456674736,128.95196124732,1151.4502799510954,2,MO
27,28,4,MP_ppSOE,0.06265640563572727,0.0018682184703737508,297.0,107.587908687244,112.2493753678167,1092.409784078598,2,MO
28,29,4,MP_ppSOE,0.0263824630226665,0.04522193921557674,607.0,161.91245425876068,166.5739209393334,1237.4391689300535,3,IA
29,30,4,MP_ppSOE,0.4964179812813421,-0.06619591937311559,527.0,151.17150782738238,155.83297450795504,1329.1158299446104,0,GR
30,31,4,MP_ppSOE,0.2424671875547567,-0.0958696540287862,222.0,85.46774716053207,90.12921384110471,1162.3774049282076,2,MO
31,32,4,MP_ppSOE,0.2253173851082453,-0.05666387331558091,3082.0,285.3976513451235,290.0591180256962,1066.7122619152071,2,MO
32,33,4,MP_ppSOE,0.024193787624449403,0.051756422336536496,353.0,120.71583846516941,125.37730514574206,1236.9369549751282,3,IA
33,34,4,MP_ppSOE,0.0906350887468219,0.07984726766140259,94.0,20.154669590759138,24.8161362713318,1168.5048370361328,3,IA
34,35,4,MP_ppSOE,0.20129483109687926,0.013755148614872795,443.0,137.97556866166914,142.63703534224183,1149.436632156372,2,MO
35,36,4,MP_ppSOE,0.3418997078722402,0.017238384513815642,225.0,86.48789670577476,91.14936338634745,1111.3322441577914,2,MO
36,37,4,MP_ppSOE,0.2971908152302211,-0.0936485850659825,586.0,159.2365701460918,163.89803682666442,1121.5188238620758,2,MO
37,38,4,MP_ppSOE,0.2760129568828933,-0.09046012365539824,151.0,56.1775337361731,60.83900041674575,1118.5618979930878,2,MO
38,39,4,MP_ppSOE,0.1744224225432623,-0.02869566242302405,241.0,91.70883308352863,96.37029976410128,1114.9408509731293,2,MO
39,40,4,MP_ppSOE,0.4184696357983958,-0.09139506295586076,220.0,84.77995966101831,89.44142634159098,1146.7549748420715,0,GR
40,41,4,MP_ppSOE,0.2432862364249365,-0.043685449265743116,247.0,93.57777972196513,98.23924640253776,1087.1441040039062,2,MO
41,42,4,MP_ppSOE,0.18078095445803555,-0.08430688140160361,290.0,105.77521628475834,110.436682965331,1132.3582990169525,1,GA
42,43,4,MP_ppSOE,0.4973358332902084,0.031603143552222504,0.0,-inf,-inf,1209.8659279346464,0,GR
43,44,4,MP_ppSOE,0.02058288613099174,0.010289357839493932,449.0,138.99800560665017,143.65947228722285,1136.136991024017,3,IA
44,45,4,MP_ppSOE,0.15565341674137234,0.06305354503389862,515.0,149.4209505886828,154.08241726925542,1118.2891871929166,3,IA
45,46,4,MP_ppSOE,0.2294752338537283,-0.09614255093705933,350.0,120.06718587898176,124.72865255955442,1088.395124912262,2,MO
46,47,4,MP_ppSOE,0.1133906054246736,0.06734333653837626,418.0,133.56085501012032,138.22232169069298,1101.8615140914917,3,IA
47,48,4,MP_ppSOE,0.10581994931441373,0.0003930432536194357,201.0,77.9154391507286,82.57690583130125,1058.0763890743256,2,MO
48,49,4,MP_ppSOE,0.06604014200733856,0.0010814548360108943,265.0,98.92373291319171,103.5851995937644,1008.7586240768433,2,MO
49,50,4,MP_ppSOE,0.3038948499145372,-0.09960736169987812,1418.0,226.3964718772364,231.05793855780902,1080.2725410461426,2,MO
50,51,4,MP_ppSOE,0.05471461211775736,-0.0010804670896181199,284.0,104.18630823849053,108.84777491906314,1175.1190860271456,2,MO
51,52,4,MP_ppSOE,0.4024461546868348,0.07257627398877217,156.0,58.653322689203655,63.314789369776314,1114.1410529613497,0,GR
52,53,4,MP_ppSOE,0.1993171066038953,0.06456368599905032,1648.0,237.82041213391446,242.4818788144872,1030.0355172157288,2,MO
53,54,4,MP_ppSOE,0.24126622719019264,-0.042208076662159366,179.0,69.1055873821362,73.76705406270888,1086.3389098644257,2,MO
54,55,4,MP_ppSOE,0.02580054599087796,0.0096377615592019,584.0,158.9767408331841,163.63820751375675,1260.284973859787,3,IA
55,56,4,MP_ppSOE,0.012041276405095936,-0.08174263920972978,9.0,-158.1466659842085,-153.48519930363585,1492.4934270381927,1,GA
56,57,4,MP_ppSOE,0.15052922823552886,-0.03211128153255411,530.0,151.60291863574756,156.26438531632022,1076.1161999702454,2,MO
57,58,4,MP_ppSOE,0.06382185841711158,-0.014886627170982825,313.0,111.57570861929048,116.23717529986315,1173.6826150417328,2,MO
58,59,4,MP_ppSOE,0.4973356737097216,0.04546733608655176,0.0,-inf,-inf,1221.4221999645233,0,GR
59,60,4,MP_ppSOE,0.14240908024967092,0.0062777129580328704,214.0,82.67844327989955,87.3399099604722,1021.9379160404204,2,MO
60,61,4,MP_ppSOE,0.177532514750513,0.029612035794618907,146.0,53.618369388072395,58.27983606864507,1094.87203001976,3,IA
61,62,4,MP_ppSOE,0.4627975109415271,0.012966752667740413,338.0,117.41575419494828,122.07722087552094,1189.27201795578,0,GR
62,63,4,MP_ppSOE,0.36843917232249945,-0.08169166934058641,704.0,173.17942120625008,177.84088788682274,1089.3139379024506,2,MO
63,64,4,MP_ppSOE,0.02932792294899735,0.047554360468064834,118.0,37.43629759762936,42.09776427820202,1146.5082590579989,3,IA
64,65,4,MP_ppSOE,0.2413048979563069,-0.04762730299026283,129.0,44.21000886972593,48.87147555029858,1114.9003508090973,2,MO
65,66,4,MP_ppSOE,0.17486293712852066,0.004946353111103822,104.0,27.83797447298317,32.49944115355582,1101.841339111328,2,MO
66,67,4,MP_ppSOE,0.011789975495796528,-0.002492802141833409,346.0,119.19361304262587,123.85507972319854,1169.3968160152435,2,MO
67,68,4,MP_ppSOE,0.099371899545269,-0.0005628975640738075,280.0,103.10827597910179,107.76974265967444,1108.839359998703,2,MO
68,69,4,MP_ppSOE,0.0029924049788006106,0.06414408554803355,677.0,170.20728287957175,174.86874956014444,1078.3617079257963,3,IA
69,70,4,MP_ppSOE,0.2538933609968989,-0.09892647330948326,107.0,29.99925755734371,34.66072423791637,1123.8567199707034,2,MO
70,71,4,MP_ppSOE,0.05316659911400454,0.0709975263381496,145.0,53.09603056220249,57.757497242775145,1094.5252840518954,3,IA
71,72,4,MP_ppSOE,0.3676937106204638,0.026700109081039147,1471.0,229.1852929039481,233.84675958452075,1143.5425488948822,0,GR
72,73,4,MP_ppSOE,0.4178323437675071,-0.09790281925534763,553.0,154.83147425393628,159.49294093450894,1216.3947451114655,0,GR
73,74,4,MP_ppSOE,0.3655643996193766,-0.099637510731485,478.0,143.7546818075895,148.41614848816215,1096.1788818836212,2,MO
74,75,4,MP_ppSOE,0.013251177093233023,0.0010845364695705542,597.0,160.64996675607662,165.31143343664928,1136.1013178825376,3,IA
75,76,4,MP_ppSOE,0.06391553574209143,0.032902652606604584,96.0,21.754728689794387,26.41619537036705,1087.3874349594116,3,IA
76,77,4,MP_ppSOE,0.02487570762511837,0.07328897505122459,390.0,128.29141831163946,132.95288499221212,1105.133757829666,3,IA
77,78,4,MP_ppSOE,0.0062722162828186545,0.006889295807330858,1513.0,231.32484438615387,235.98631106672653,1103.1692841053011,3,IA
78,79,4,MP_ppSOE,0.3147664609015546,-0.09442691333565943,183.0,70.78521375418683,75.44668043475949,1112.9810690879822,2,MO
79,80,4,MP_ppSOE,0.11106715720968474,0.007225421227014347,176.0,67.82104976113837,72.48251644171104,1060.634910821915,3,IA
80,81,4,MP_ppSOE,0.1297412890868734,-0.09700943756353343,286.0,104.71964376054764,109.3811104411203,1156.2024071216586,1,GA
81,82,4,MP_ppSOE,0.204062416847412,-0.09786042587303023,2121.0,256.9971306851548,261.65859736572736,984.5243508815764,1,GA
82,83,4,MP_ppSOE,0.4967737612412511,0.04577060629668722,0.0,-inf,-inf,1216.8211088180542,0,GR
83,84,4,MP_ppSOE,0.05133233690943545,-0.0007165742285756282,425.0,134.82304297649452,139.48450965706718,1095.8394639492037,2,MO
84,85,4,MP_ppSOE,0.4191405027347084,-0.09318588065800024,464.0,141.49549210743425,146.1569587880069,1092.3596160411837,0,GR
85,86,4,MP_ppSOE,0.4716640948113925,-0.09957157905501177,779.0,180.8731056244157,185.53457230498842,1249.160698890686,0,GR
86,87,4,MP_ppSOE,0.2014427765338936,-0.0941570671635634,208.0,80.51716019553899,85.17862687611166,1117.9310109615326,1,GA
87,88,4,MP_ppSOE,0.09802350829541542,0.003915224811542236,87.0,14.273283155987196,18.934749836559853,1046.5065648555756,2,MO
88,89,4,MP_ppSOE,0.2556885045800317,-0.09892171529167247,284.0,104.18630823849053,108.84777491906314,1063.6239938735962,2,MO
89,90,4,MP_ppSOE,0.007868939131678885,-0.0014272506138427075,300.0,108.3517342121101,113.01320089268276,1136.9939830303192,2,MO
90,91,4,MP_ppSOE,0.4972985899621356,0.08616823143379315,0.0,-inf,-inf,1207.8233690261839,0,GR
91,92,4,MP_ppSOE,0.25594779709918186,-0.05186865082430319,123.0,40.59027714654257,45.25174382711523,1182.2897350788114,2,MO
92,93,4,MP_ppSOE,0.06637951004234494,-0.06831585855398438,70.0,-2.2500954660098813,2.411371214562781,1387.1247708797455,1,GA
93,94,4,MP_ppSOE,0.030413009330567082,-0.007362843381826947,264.0,98.63639797735888,103.29786465793151,1203.4552910327914,1,GA
94,95,4,MP_ppSOE,0.4801577514858103,0.028913545260806712,124.0,41.20566512422164,45.86713180479429,1305.2921850681305,0,GR
95,96,4,MP_ppSOE,0.005357978038066133,0.09635198688798786,5730.0,332.5280476761065,337.1895143566792,1070.6388819217682,3,IA
96,97,4,MP_ppSOE,0.10987519657876504,0.07686243968785994,354.0,120.93083153640569,125.59229821697836,1125.6411139965055,3,IA
97,98,4,MP_ppSOE,0.1577297023020366,0.08303881690144535,530.0,151.60291863574756,156.26438531632022,1064.3410909175873,3,IA
98,99,4,MP_ppSOE,0.416272997395553,-0.09049056802464282,567.0,156.73157322154802,161.39303990212062,1157.4065878391264,0,GR
99,100,4,MP_ppSOE,0.09896790627775676,-0.04946473183368422,441.0,137.63167667219915,142.2931433527718,1257.7595610618594,1,GA
100,101,4,MP_ppSOE,0.027155349431676856,-0.006280235058969676,493.0,146.10296336548328,150.76443004605594,1184.7367990016935,2,MO
101,102,4,MP_ppSOE,0.4963358338478944,0.07619684018733609,0.0,-inf,-inf,1235.1698739528654,0,GR
102,103,4,MP_ppSOE,0.17960487545650355,0.006603532752225957,201.0,77.9154391507286,82.57690583130125,1119.7061071395874,2,MO
103,104,4,MP_ppSOE,0.2373157137439347,-0.09456185019268827,150.0,55.67254848955426,60.33401517012693,1176.9055738449094,2,MO
